cuda build: 1739719199.192453-search-HD_SD-0D/1739785648.3533168-0

------------------------- CONFIG -------------------------
	n_neurons: 400
	activation_func_name: Tanh
	dt: 50.0
	tau: 500.0
	W_in_init: normal
	W_rec_init: normal
	hidden_g: 1.1
	learn_x_0: True
	learn_W_in: False
	learn_W_rec: True
	learn_W_out: False
	state_noise_std: 0.1
	rate_noise_std: 0.0
	output_noise_std: 0.0
	weight_loss_type: 1
	weight_lambda: 0.1
	rate_loss_type: 1
	rate_lambda: 0.0
	rank: None
	time: 1739785648.3533168
	build_seed: 0
	max_hours: 48
	device: cuda
	optimiser_name: Adam
	num_loader_workers: 4
	training_threshold: 0.0
	training_convergence_std_threshold: 0.01
	training_convergence_std_threshold_window: 5000
	savedir: 1739719199.192453-search-HD_SD-0D
	save_initial_net: False
	save_losses: [0.2, 0.1, 0.05, 0.025, 0.01, 0.005, 0.001, 0.0008, 0.0006, 0.0004, 0.0002, 1e-05]
	save_epochs: 1000
	test_epochs: 100
	HF_damping: 0.5
	HF_delta_decay: 0.95
	HF_cg_max_iter: 100
	n_timesteps: 500
	n_epochs: -1
	max_epochs: 500000
	num_batch_repeats: 1
	batch_size: 500
	minibatch_size: 500
	max_lr: 0.001
	min_lr: 1e-09
	lr_initial_schedule: 1e-09
	lr_anneal_schedule: 1e-09
	test_n_timesteps: 500
	test_batch_size: 1000
	test_fig_width: 20
	test_fig_height: 10
	test_fig_margin: 0.06
	task: HD_SD-0D
	n_inputs: 5
	n_outputs: 4
	init_duration: 10
	av_step_std: 0.03
	av_step_momentum: 0.8
	av_step_zero_prob: 0.5
	name: 0

----------------------------------------------------------

(cuda) Test dataset loss without training: 0.5237

(cuda) Epoch: 1; Updates: 1 (lr=1.0000E-03); Average Loss: 0.5225; Time Elapsed: 3.8s
(cuda) Epoch: 2; Updates: 1 (lr=1.0000E-03); Average Loss: 0.5482; Time Elapsed: 2.5s
(cuda) Epoch: 3; Updates: 1 (lr=1.0000E-03); Average Loss: 0.5439; Time Elapsed: 2.2s
(cuda) Epoch: 4; Updates: 1 (lr=1.0000E-03); Average Loss: 0.5158; Time Elapsed: 2.1s
(cuda) Epoch: 5; Updates: 1 (lr=1.0000E-03); Average Loss: 0.5273; Time Elapsed: 2.4s
(cuda) Epoch: 6; Updates: 1 (lr=1.0000E-03); Average Loss: 0.5026; Time Elapsed: 1.9s
(cuda) Epoch: 7; Updates: 1 (lr=1.0000E-03); Average Loss: 0.5006; Time Elapsed: 2.1s
(cuda) Epoch: 8; Updates: 1 (lr=1.0000E-03); Average Loss: 0.5135; Time Elapsed: 2.0s
(cuda) Epoch: 9; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4983; Time Elapsed: 2.5s
(cuda) Epoch: 10; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4940; Time Elapsed: 2.3s
(cuda) Epoch: 11; Updates: 1 (lr=1.0000E-03); Average Loss: 0.5026; Time Elapsed: 2.2s
(cuda) Epoch: 12; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4975; Time Elapsed: 2.2s
(cuda) Epoch: 13; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4935; Time Elapsed: 2.4s
(cuda) Epoch: 14; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4922; Time Elapsed: 2.4s
(cuda) Epoch: 15; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4939; Time Elapsed: 2.5s
(cuda) Epoch: 16; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4936; Time Elapsed: 2.6s
